pmcid,pmid,title,source_url,raw_path,text_path,processed_path,chunk_count,entity_count,relationship_count,fetch_status,extract_status,load_status,extractor_model,status,error
PMC6067007,,"Role of fibrates in cardiovascular disease prevention, the ACCORD-Lipid perspective",https://pmc.ncbi.nlm.nih.gov/articles/PMC6067007/,data/source_documents/pmc_noninst_v001/raw/PMC6067007.json,data/source_documents/pmc_noninst_v001/text/PMC6067007.txt,data/source_documents/pmc_noninst_v001/processed/PMC6067007.json,5,78,11,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC7188966,,Fibrates Revisited: Potential Role in Cardiovascular Risk Reduction,https://pmc.ncbi.nlm.nih.gov/articles/PMC7188966/,data/source_documents/pmc_noninst_v001/raw/PMC7188966.json,data/source_documents/pmc_noninst_v001/text/PMC7188966.txt,data/source_documents/pmc_noninst_v001/processed/PMC7188966.json,5,80,22,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC2646035,,"Effects of Fenofibrate Treatment on Cardiovascular Disease Risk in 9,795 Individuals With Type 2 Diabetes and Various Components of the Metabolic Syndrome",https://pmc.ncbi.nlm.nih.gov/articles/PMC2646035/,data/source_documents/pmc_noninst_v001/raw/PMC2646035.json,data/source_documents/pmc_noninst_v001/text/PMC2646035.txt,data/source_documents/pmc_noninst_v001/processed/PMC2646035.json,5,42,7,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC5470410,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5470410/,data/source_documents/pmc_noninst_v001/raw/PMC5470410.json,data/source_documents/pmc_noninst_v001/text/PMC5470410.txt,data/source_documents/pmc_noninst_v001/processed/PMC5470410.json,0,0,0,skipped,skipped,skipped,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,skipped,BioC JSON unavailable for PMC5470410: NCBI returned no result
PMC6763755,,Use of fenofibrate on cardiovascular outcomes in statin users with metabolic syndrome: propensity matched cohort study,https://pmc.ncbi.nlm.nih.gov/articles/PMC6763755/,data/source_documents/pmc_noninst_v001/raw/PMC6763755.json,data/source_documents/pmc_noninst_v001/text/PMC6763755.txt,data/source_documents/pmc_noninst_v001/processed/PMC6763755.json,7,88,0,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC10594425,,Effectiveness and Safety of Fenofibrate in Routine Treatment of Patients with Hypertriglyceridemia and Metabolic Syndrome,https://pmc.ncbi.nlm.nih.gov/articles/PMC10594425/,data/source_documents/pmc_noninst_v001/raw/PMC10594425.json,data/source_documents/pmc_noninst_v001/text/PMC10594425.txt,data/source_documents/pmc_noninst_v001/processed/PMC10594425.json,7,85,13,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC6171908,,Effect of fenofibrate in 1113 patients at low-density lipoprotein cholesterol goal but high triglyceride levels: Real-world results and factors associated with triglyceride reduction,https://pmc.ncbi.nlm.nih.gov/articles/PMC6171908/,data/source_documents/pmc_noninst_v001/raw/PMC6171908.json,data/source_documents/pmc_noninst_v001/text/PMC6171908.txt,data/source_documents/pmc_noninst_v001/processed/PMC6171908.json,5,66,3,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC11264858,,Fenofibrate’s impact on cardiovascular risk in patients with diabetes: a nationwide propensity-score matched cohort study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11264858/,data/source_documents/pmc_noninst_v001/raw/PMC11264858.json,data/source_documents/pmc_noninst_v001/text/PMC11264858.txt,data/source_documents/pmc_noninst_v001/processed/PMC11264858.json,7,84,7,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC13101280,,"Fenofibrate plus statin and ASCVD risk by triglyceride-rich lipoprotein cholesterol in 70,000 patients",https://pmc.ncbi.nlm.nih.gov/articles/PMC13101280/,data/source_documents/pmc_noninst_v001/raw/PMC13101280.json,data/source_documents/pmc_noninst_v001/text/PMC13101280.txt,data/source_documents/pmc_noninst_v001/processed/PMC13101280.json,10,114,12,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC12955317,,Association of fenofibrate therapy with cardiovascular events and mortality in diabetes patients with early-diagnosed hyperlipidemia,https://pmc.ncbi.nlm.nih.gov/articles/PMC12955317/,data/source_documents/pmc_noninst_v001/raw/PMC12955317.json,data/source_documents/pmc_noninst_v001/text/PMC12955317.txt,data/source_documents/pmc_noninst_v001/processed/PMC12955317.json,8,92,4,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC3563284,,Fish oil – how does it reduce plasma triglycerides?,https://pmc.ncbi.nlm.nih.gov/articles/PMC3563284/,data/source_documents/pmc_noninst_v001/raw/PMC3563284.json,data/source_documents/pmc_noninst_v001/text/PMC3563284.txt,data/source_documents/pmc_noninst_v001/processed/PMC3563284.json,10,166,0,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC10557817,,Fish oil supplementation modifies the genetic potential for blood lipids,https://pmc.ncbi.nlm.nih.gov/articles/PMC10557817/,data/source_documents/pmc_noninst_v001/raw/PMC10557817.json,data/source_documents/pmc_noninst_v001/text/PMC10557817.txt,data/source_documents/pmc_noninst_v001/processed/PMC10557817.json,6,59,0,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC5646219,,A Double-Blind Randomized Trial of Fish Oil to Lower Triglycerides and Improve Cardiometabolic Risk in Adolescents,https://pmc.ncbi.nlm.nih.gov/articles/PMC5646219/,data/source_documents/pmc_noninst_v001/raw/PMC5646219.json,data/source_documents/pmc_noninst_v001/text/PMC5646219.txt,data/source_documents/pmc_noninst_v001/processed/PMC5646219.json,7,100,2,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC9791266,,Role of omega-3 fatty acids in the prevention and treatment of cardiovascular Diseases: A consensus statement from the Experts’ Committee Of National Society Of Cardiometabolic Medicine,https://pmc.ncbi.nlm.nih.gov/articles/PMC9791266/,data/source_documents/pmc_noninst_v001/raw/PMC9791266.json,data/source_documents/pmc_noninst_v001/text/PMC9791266.txt,data/source_documents/pmc_noninst_v001/processed/PMC9791266.json,15,220,8,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC8413259,,Effect of omega-3 fatty acids on cardiovascular outcomes: A systematic review and meta-analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC8413259/,data/source_documents/pmc_noninst_v001/raw/PMC8413259.json,data/source_documents/pmc_noninst_v001/text/PMC8413259.txt,data/source_documents/pmc_noninst_v001/processed/PMC8413259.json,10,114,0,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC6024670,,"The Role of n-3 Long Chain Polyunsaturated Fatty Acids in Cardiovascular Disease Prevention, and Interactions with Statins",https://pmc.ncbi.nlm.nih.gov/articles/PMC6024670/,data/source_documents/pmc_noninst_v001/raw/PMC6024670.json,data/source_documents/pmc_noninst_v001/text/PMC6024670.txt,data/source_documents/pmc_noninst_v001/processed/PMC6024670.json,10,123,21,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC10381976,,Association Between Omega‐3 Fatty Acid Intake and Dyslipidemia: A Continuous Dose–Response Meta‐Analysis of Randomized Controlled Trials,https://pmc.ncbi.nlm.nih.gov/articles/PMC10381976/,data/source_documents/pmc_noninst_v001/raw/PMC10381976.json,data/source_documents/pmc_noninst_v001/text/PMC10381976.txt,data/source_documents/pmc_noninst_v001/processed/PMC10381976.json,11,138,4,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC3388014,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3388014/,data/source_documents/pmc_noninst_v001/raw/PMC3388014.json,data/source_documents/pmc_noninst_v001/text/PMC3388014.txt,data/source_documents/pmc_noninst_v001/processed/PMC3388014.json,0,0,0,skipped,skipped,skipped,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,skipped,BioC JSON unavailable for PMC3388014: NCBI returned no result
PMC9609787,,The effect of omega-3 fatty acids and its combination with statins on lipid profile in patients with hypertriglyceridemia: A systematic review and meta-analysis of randomized controlled trials,https://pmc.ncbi.nlm.nih.gov/articles/PMC9609787/,data/source_documents/pmc_noninst_v001/raw/PMC9609787.json,data/source_documents/pmc_noninst_v001/text/PMC9609787.txt,data/source_documents/pmc_noninst_v001/processed/PMC9609787.json,12,117,10,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC6320142,,Comparison of efficacy and safety of combination therapy with statins and omega-3 fatty acids versus statin monotherapy in patients with dyslipidemia,https://pmc.ncbi.nlm.nih.gov/articles/PMC6320142/,data/source_documents/pmc_noninst_v001/raw/PMC6320142.json,data/source_documents/pmc_noninst_v001/text/PMC6320142.txt,data/source_documents/pmc_noninst_v001/processed/PMC6320142.json,5,50,14,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
