relationship_gold_id,document_id,chunk_id,pmid,pmcid,relationship_type,source_entity_id,source_entity_type,source_entity_text,source_normalized_name,target_entity_id,target_entity_type,target_entity_text,target_normalized_name,evidence_text,evidence_section,evidence_start_char,evidence_end_char,confidence_gold,direction_verified,explicit_or_implied,negated,speculative,annotation_decision,annotator,annotation_status,notes
silver_relationship:a2d422b541c3f4ac,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,INCREASES_RISK_OF,biomarker:chylomicron_remnants,Biomarker,Chylomicron remnants,Chylomicron remnants,condition:atherosclerosis,Condition,Atherosclerosis,Atherosclerosis,It is the resulting CM remnants that are atherogenic,INTRO,5819,5871,0.78,yes,strong_implication,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=revised; reason=Revised from ASSOCIATED_WITH to INCREASES_RISK_OF because 'atherogenic' indicates that CM remnants promote atherosclerotic disease rather than merely co-occur with it.
silver_relationship:c43c42bac69ed13d,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,ASSOCIATED_WITH,biomarker:high_triglycerides,Biomarker,High triglycerides,High triglycerides,biomarker:interleukin_6,Biomarker,Interleukin-6,Interleukin-6,"Increased levels of prothrombotic factors, such as fibrinogen and plasminogen activator inhibitors, as well as proinflammatory molecules such as C-reactive protein, TNF-α, fibrinogen, and IL-6, have been observed in obese subjects and patients with high TG.",INTRO,8921,9178,0.78,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The sentence explicitly states that increased IL-6 levels were observed in patients with high TG.
silver_relationship:88edbb36320a30de,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,ASSOCIATED_WITH,biomarker:high_triglycerides,Biomarker,High triglycerides,High triglycerides,biomarker:fibrinogen,Biomarker,Fibrinogen,Fibrinogen,"Increased levels of prothrombotic factors, such as fibrinogen and plasminogen activator inhibitors, as well as proinflammatory molecules such as C-reactive protein, TNF-α, fibrinogen, and IL-6, have been observed in obese subjects and patients with high TG.",INTRO,8921,9178,0.78,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The sentence explicitly associates high TG patients with increased fibrinogen levels.
silver_relationship:1290952dfd67b2f3,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,INCREASES_RISK_OF,biomarker:low_hdl_cholesterol,Biomarker,Low HDL cholesterol,Low HDL cholesterol,condition:coronary_heart_disease,Condition,Coronary heart disease,Coronary heart disease,Recent case-control studies investigating the relative contributions of TGs and HDL-C to CHD have found that the residual risk after reduction of LDL-C to guideline-recommended levels in patients with atherogenic dyslipidemia is strongly associated with both high TG levels and low HDL-C,INTRO,10918,11205,0.86,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=revised; reason=Revised to INCREASES_RISK_OF because the evidence refers to residual CHD risk being strongly associated with low HDL-C.
silver_relationship:44a3c6922fe8bcae,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,INCREASES,biomarker:postprandial_triglyceride_rich_lipoproteins,Biomarker,Postprandial triglyceride-rich lipoproteins,Postprandial triglyceride-rich lipoproteins,biomarker:monocyte_chemotactic_protein_1,Biomarker,Monocyte chemotactic protein-1,Monocyte chemotactic protein-1,"Postprandial TRLs increase the expression of proinflammatory genes (eg, IL-6, intercellular adhesion molecule-1, vascular cell adhesion molecule-1, and monocyte chemotactic protein-1), particularly after a high-fat meal.",INTRO,9179,9399,0.86,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=revised; reason=Revised from ASSOCIATED_WITH to INCREASES because the evidence explicitly states that postprandial TRLs increase expression of monocyte chemotactic protein-1.
silver_relationship:a5a9b7c82a87737c,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,ASSOCIATED_WITH,biomarker:high_triglycerides,Biomarker,High triglycerides,High triglycerides,biomarker:plasminogen_activator_inhibitors,Biomarker,Plasminogen activator inhibitors,Plasminogen activator inhibitors,"Increased levels of prothrombotic factors, such as fibrinogen and plasminogen activator inhibitors, as well as proinflammatory molecules such as C-reactive protein, TNF-α, fibrinogen, and IL-6, have been observed in obese subjects and patients with high TG.",INTRO,8921,9178,0.78,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly states that increased plasminogen activator inhibitor levels were observed in patients with high TG.
silver_relationship:95646af4221a5292,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,ASSOCIATED_WITH,riskfactor:obesity,RiskFactor,Obesity,Obesity,biomarker:tumor_necrosis_factor_alpha,Biomarker,Tumor necrosis factor-alpha,Tumor necrosis factor-alpha,"Increased levels of prothrombotic factors, such as fibrinogen and plasminogen activator inhibitors, as well as proinflammatory molecules such as C-reactive protein, TNF-α, fibrinogen, and IL-6, have been observed in obese subjects and patients with high TG.",INTRO,8921,9178,0.78,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly reports increased TNF-alpha among proinflammatory molecules observed in obese subjects.
silver_relationship:85a6dbee9821a727,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,INCREASES_RISK_OF,biomarker:high_triglycerides,Biomarker,High triglycerides,High triglycerides,condition:coronary_heart_disease,Condition,Coronary heart disease,Coronary heart disease,"reported an odds ratio of 1.7 (95% CI, 1.6–1.9) comparing the risk of CHD for those in the upper to lower tertiles of the TG distribution after adjusting for other risk factors.",INTRO,10064,10241,0.93,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=revised; reason=Revised to INCREASES_RISK_OF because the evidence explicitly compares CHD risk for upper versus lower TG tertiles and reports elevated odds.
silver_relationship:98406d6286e4ade3,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,INCREASES_RISK_OF,biomarker:lipoprotein_lipase,Biomarker,Lipoprotein lipase,Lipoprotein lipase,condition:atherosclerosis,Condition,Atherosclerosis,Atherosclerosis,"Specifically, LPL expressed in macrophages appears to have proatherogenic effects independent of plasma lipoproteins",INTRO,8671,8787,0.78,yes,strong_implication,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=revised; reason=Revised to INCREASES_RISK_OF because proatherogenic effects of macrophage-expressed LPL imply promotion of atherosclerosis rather than a simple association.
silver_relationship:b004bba516db203b,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,ASSOCIATED_WITH,riskfactor:obesity,RiskFactor,Obesity,Obesity,biomarker:interleukin_6,Biomarker,Interleukin-6,Interleukin-6,"Increased levels of prothrombotic factors, such as fibrinogen and plasminogen activator inhibitors, as well as proinflammatory molecules such as C-reactive protein, TNF-α, fibrinogen, and IL-6, have been observed in obese subjects and patients with high TG.",INTRO,8921,9178,0.78,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly reports increased IL-6 among molecules observed in obese subjects.
silver_relationship:2f0600ca6fc4fd44,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,ASSOCIATED_WITH,riskfactor:obesity,RiskFactor,Obesity,Obesity,biomarker:fibrinogen,Biomarker,Fibrinogen,Fibrinogen,"Increased levels of prothrombotic factors, such as fibrinogen and plasminogen activator inhibitors, as well as proinflammatory molecules such as C-reactive protein, TNF-α, fibrinogen, and IL-6, have been observed in obese subjects and patients with high TG.",INTRO,8921,9178,0.78,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly reports increased fibrinogen levels in obese subjects.
silver_relationship:351a316c5d444a35,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,ASSOCIATED_WITH,biomarker:triglyceride_rich_lipoproteins,Biomarker,Triglyceride-rich lipoproteins,Triglyceride-rich lipoproteins,condition:endothelial_dysfunction,Condition,Endothelial dysfunction,Endothelial dysfunction,"TRLs and their remnants produce numerous proatherogenic responses including enhanced recruitment and attachment of monocytes through the action of endothelial- and macrophage-derived inflammatory proteins such as tumor necrosis factor-α (TNF-α), interleukin (IL)-1β, monocyte chemotactic protein-1, intercellular adhesion molecule-1, and matrix metalloproteinase-3; increased expression of adhesion molecules and decreased artery flow-mediated vasodilation, both of which are implicated in endothelial dysfunction",INTRO,6278,6791,0.82,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted; reason=The evidence states that TRLs produce proatherogenic responses, including changes implicated in endothelial dysfunction."
silver_relationship:c0bc4df1bf4f4437,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,ASSOCIATED_WITH,biomarker:high_triglycerides,Biomarker,High triglycerides,High triglycerides,biomarker:c_reactive_protein,Biomarker,C-reactive protein,C-reactive protein,"Increased levels of prothrombotic factors, such as fibrinogen and plasminogen activator inhibitors, as well as proinflammatory molecules such as C-reactive protein, TNF-α, fibrinogen, and IL-6, have been observed in obese subjects and patients with high TG.",INTRO,8921,9178,0.78,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly reports increased C-reactive protein among molecules observed in patients with high TG.
silver_relationship:cfc36a9d0721bab4,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,ASSOCIATED_WITH,riskfactor:obesity,RiskFactor,Obesity,Obesity,biomarker:c_reactive_protein,Biomarker,C-reactive protein,C-reactive protein,"Increased levels of prothrombotic factors, such as fibrinogen and plasminogen activator inhibitors, as well as proinflammatory molecules such as C-reactive protein, TNF-α, fibrinogen, and IL-6, have been observed in obese subjects and patients with high TG.",INTRO,8921,9178,0.78,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly reports increased C-reactive protein levels in obese subjects.
silver_relationship:84cc7fbb62de1d15,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,ASSOCIATED_WITH,riskfactor:apoc3_mutation,RiskFactor,APOC3 mutation,APOC3 mutation,biomarker:low_triglycerides,Biomarker,Low triglycerides,Low triglycerides,a mutation in APOC3 was recently identified in association with low TG levels,INTRO,7839,7916,0.9,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly identifies an APOC3 mutation in association with low TG levels.
silver_relationship:31657e3d82453349,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,INCREASES_RISK_OF,biomarker:apolipoprotein_c_iii,Biomarker,Apolipoprotein C-III,Apolipoprotein C-III,condition:atherosclerosis,Condition,Atherosclerosis,Atherosclerosis,Atherogenicity of TRLs has been linked to their apo C-III content.,INTRO,7050,7116,0.84,yes,strong_implication,no,no,include,frontier / openai / gpt-5.5,accepted,"llm_adjudication=revised; reason=Revised to INCREASES_RISK_OF because apo C-III content is linked to atherogenicity, implying promotion of atherosclerosis."
silver_relationship:caa89eef64d60dc3,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,ASSOCIATED_WITH,biomarker:triglyceride_rich_lipoproteins,Biomarker,Triglyceride-rich lipoproteins,Triglyceride-rich lipoproteins,condition:coronary_atherosclerosis,Condition,Coronary atherosclerosis,Coronary atherosclerosis,TRLs have been associated with coronary atherosclerosis in human observational studies.,INTRO,6111,6198,0.97,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly states that TRLs have been associated with coronary atherosclerosis.
silver_relationship:ec143ee170904a61,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,REDUCES,riskfactor:apoc3_mutation,RiskFactor,APOC3 mutation,APOC3 mutation,condition:coronary_artery_calcification,Condition,Coronary artery calcification,Coronary artery calcification,"a mutation in APOC3 was recently identified in association with low TG levels, reduced coronary artery calcification",INTRO,7839,7955,0.9,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=revised; reason=Revised from ASSOCIATED_WITH to REDUCES because the evidence specifically states that the APOC3 mutation is associated with reduced coronary artery calcification.
silver_relationship:7f77181b6a78feae,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,INCREASES,biomarker:postprandial_triglyceride_rich_lipoproteins,Biomarker,Postprandial triglyceride-rich lipoproteins,Postprandial triglyceride-rich lipoproteins,biomarker:intercellular_adhesion_molecule_1,Biomarker,Intercellular adhesion molecule-1,Intercellular adhesion molecule-1,"Postprandial TRLs increase the expression of proinflammatory genes (eg, IL-6, intercellular adhesion molecule-1, vascular cell adhesion molecule-1, and monocyte chemotactic protein-1), particularly after a high-fat meal.",INTRO,9179,9399,0.86,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=revised; reason=Revised from ASSOCIATED_WITH to INCREASES because the evidence explicitly states that postprandial TRLs increase expression of intercellular adhesion molecule-1.
silver_relationship:e42accf415476cd4,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,INCREASES,biomarker:postprandial_triglyceride_rich_lipoproteins,Biomarker,Postprandial triglyceride-rich lipoproteins,Postprandial triglyceride-rich lipoproteins,biomarker:vascular_cell_adhesion_molecule_1,Biomarker,Vascular cell adhesion molecule-1,Vascular cell adhesion molecule-1,"Postprandial TRLs increase the expression of proinflammatory genes (eg, IL-6, intercellular adhesion molecule-1, vascular cell adhesion molecule-1, and monocyte chemotactic protein-1), particularly after a high-fat meal.",INTRO,9179,9399,0.86,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=revised; reason=Revised from ASSOCIATED_WITH to INCREASES because the evidence explicitly states that postprandial TRLs increase expression of vascular cell adhesion molecule-1.
