entity_gold_id,document_id,chunk_id,pmid,pmcid,entity_id,entity_type,entity_text,normalized_name,aliases,category,mesh_id,icd10,drugbank_id,unit,normal_range,description,evidence_text,evidence_section,evidence_start_char,evidence_end_char,annotator,annotation_status,notes
silver_entity:7303253b74cb1f99,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,biomarker:very_low_density_lipoproteins,Biomarker,Very low density lipoproteins,Very low density lipoproteins,,,,,,,,,very low density lipoproteins,TITLE,3108,3137,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned lipoprotein biomarker class.
silver_entity:98b87404369ca84d,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,condition:atherosclerosis,Condition,Atherosclerosis,Atherosclerosis,,,,,,,,,Atherosclerosis,TITLE,29,44,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Atherosclerosis is explicitly named as the disease process in the title and text.
silver_entity:03ffd3a849c6c89f,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,condition:cardiovascular_death,Condition,cardiovascular deaths,Cardiovascular death,,,,,,,,,cardiovascular deaths,TITLE,2246,2267,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk explicitly mentions cardiovascular deaths as a clinical outcome; normalized to singular concept.
silver_entity:5bd0597eb3bcfe28,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,condition:cardiovascular_disease,Condition,Cardiovascular disease,Cardiovascular disease,,,,,,,,,cardiovascular disease,TITLE,98,120,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned disease category.
silver_entity:93dfe88aca39ede5,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,condition:combined_dyslipidemia,Condition,Combined dyslipidemia,Combined dyslipidemia,,,,,,,,,combined dyslipidemia,TITLE,2871,2892,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned dyslipidemic condition.
silver_entity:cb7f6d98ba3e8bd7,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,condition:coronary_heart_disease,Condition,Coronary heart disease,Coronary heart disease,,,,,,,,,coronary heart disease,TITLE,1914,1936,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned cardiovascular condition.
silver_entity:b539f4ae0ac1cd74,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,condition:hypertriglyceridemia,Condition,Hypertriglyceridemia,Hypertriglyceridemia,,,,,,,,,Hypertriglyceridemia,TITLE,46,66,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned condition and central topic of the chunk.
silver_entity:fc51eda73217c1d4,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,condition:insulin_resistance,Condition,Insulin resistance,Insulin resistance,,,,,,,,,insulin resistance,TITLE,192,210,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned metabolic condition.
silver_entity:95d358495b4c4d2b,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,condition:metabolic_syndrome,Condition,Metabolic syndrome,Metabolic syndrome,,,,,,,,,metabolic syndrome,TITLE,636,654,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned condition associated with triglyceride levels and CVD risk.
silver_entity:412f1de088f0a10c,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,condition:myocardial_infarction,Condition,Myocardial infarction,Myocardial infarction,,,,,,,,,myocardial infarction,TITLE,2278,2299,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned cardiovascular event.
silver_entity:85212111eb7db7c2,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,condition:stroke,Condition,Stroke,Stroke,,,,,,,,,stroke,TITLE,2305,2311,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned cerebrovascular condition/event.
silver_entity:22f59e80faba72a5,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,condition:type_2_diabetes_mellitus,Condition,Type 2 diabetes mellitus,Type 2 diabetes mellitus,,,,,,,,,type 2 diabetes mellitus,TITLE,2797,2821,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned condition in the chunk.
silver_entity:8d646635a2c751fa,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,drug:statins,Drug,Statins,Statins,,,,,,,,,statins,TITLE,2209,2216,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned drug class used in lipid-lowering treatment.
silver_entity:f859243ffe5c6369,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:apolipoprotein_c_iii,Biomarker,apo C-III,Apolipoprotein C-III,,,,,,,,,apo C-III,INTRO,7098,7107,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk supports this biomarker via the abbreviation 'apo C-III'.
silver_entity:bb6a067e51708c12,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:c_reactive_protein,Biomarker,C-reactive protein,C-reactive protein,,,,,,,,,C-reactive protein,INTRO,9066,9084,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone inflammatory biomarker explicitly mentioned in the chunk.
silver_entity:0a72e53e1ad8cf28,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:chylomicron_remnants,Biomarker,CM remnants,Chylomicron remnants,,,,,,,,,CM remnants,INTRO,5837,5848,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk supports chylomicron remnants via the abbreviation 'CM remnants'.
silver_entity:df97569d6d6c8ad7,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:fibrinogen,Biomarker,Fibrinogen,Fibrinogen,,,,,,,,,fibrinogen,INTRO,8972,8982,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone prothrombotic/proinflammatory biomarker explicitly mentioned.
silver_entity:426dcf3b9536ff88,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:high_triglycerides,Biomarker,high TG levels,High triglycerides,,,,,,,,,high TG levels,INTRO,11176,11190,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted_with_normalization; reason=The chunk explicitly mentions high TG levels, supporting the normalized concept high triglycerides."
silver_entity:221e9f8d36420574,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:intercellular_adhesion_molecule_1,Biomarker,Intercellular adhesion molecule-1,Intercellular adhesion molecule-1,,,,,,,,,intercellular adhesion molecule-1,INTRO,6577,6610,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone adhesion molecule biomarker explicitly mentioned.
silver_entity:cd052a8b6f1de45d,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:interleukin_6,Biomarker,IL-6,Interleukin-6,,,,,,,,,IL-6,INTRO,9110,9114,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk supports interleukin-6 via the abbreviation 'IL-6'.
silver_entity:299d2b6fa8f1ff9c,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:lipoprotein_lipase,Biomarker,LPL,Lipoprotein lipase,,,,,,,,,LPL,INTRO,8030,8033,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk supports lipoprotein lipase via the abbreviation 'LPL'.
silver_entity:2b219549296a7e7c,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:low_hdl_cholesterol,Biomarker,low HDL-C,Low HDL cholesterol,,,,,,,,,low HDL-C,INTRO,11195,11204,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted_with_normalization; reason=The chunk explicitly mentions low HDL-C, supporting the normalized concept low HDL cholesterol."
silver_entity:36d0e0bf41a55781,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:low_triglycerides,Biomarker,low TG levels,Low triglycerides,,,,,,,,,low TG levels,INTRO,7903,7916,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted_with_normalization; reason=The chunk explicitly mentions low TG levels, supporting the normalized concept low triglycerides."
silver_entity:192d3e14823d6da1,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:monocyte_chemotactic_protein_1,Biomarker,Monocyte chemotactic protein-1,Monocyte chemotactic protein-1,,,,,,,,,monocyte chemotactic protein-1,INTRO,6545,6575,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone inflammatory protein biomarker explicitly mentioned.
silver_entity:d416bac00647a0ab,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:plasminogen_activator_inhibitors,Biomarker,Plasminogen activator inhibitors,Plasminogen activator inhibitors,,,,,,,,,plasminogen activator inhibitors,INTRO,8987,9019,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone prothrombotic biomarker class explicitly mentioned.
silver_entity:54f9e123c6ecb6a9,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:postprandial_triglyceride_rich_lipoproteins,Biomarker,Postprandial TRLs,Postprandial triglyceride-rich lipoproteins,,,,,,,,,Postprandial TRLs,INTRO,9179,9196,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk supports the normalized biomarker subtype via the abbreviated phrase 'Postprandial TRLs'.
silver_entity:018fb7192b800a94,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:triglyceride_rich_lipoproteins,Biomarker,TRLs,Triglyceride-rich lipoproteins,,,,,,,,,TRLs,INTRO,6111,6115,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk repeatedly discusses TRLs as a standalone lipoprotein concept.
silver_entity:2de5c32eb7540979,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:tumor_necrosis_factor_alpha,Biomarker,tumor necrosis factor-α,Tumor necrosis factor-alpha,,,,,,,,,tumor necrosis factor-α,INTRO,6491,6514,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The cytokine is explicitly mentioned with Greek alpha; normalized to alpha spelling.
silver_entity:ba1b74518423208c,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,biomarker:vascular_cell_adhesion_molecule_1,Biomarker,Vascular cell adhesion molecule-1,Vascular cell adhesion molecule-1,,,,,,,,,vascular cell adhesion molecule-1,INTRO,9292,9325,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone adhesion molecule biomarker explicitly mentioned.
silver_entity:9634c6bab6ab35c2,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,condition:atherosclerosis,Condition,Atherosclerosis,Atherosclerosis,,,,,,,,,atherosclerosis,INTRO,6827,6842,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone disease concept explicitly mentioned in the chunk.
silver_entity:635b5cc1efe9149e,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,condition:coronary_artery_calcification,Condition,Coronary artery calcification,Coronary artery calcification,,,,,,,,,coronary artery calcification,INTRO,7926,7955,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone cardiovascular condition explicitly mentioned.
silver_entity:842b7e1441b0dc4d,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,condition:coronary_atherosclerosis,Condition,Coronary atherosclerosis,Coronary atherosclerosis,,,,,,,,,coronary atherosclerosis,INTRO,6142,6166,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone specific cardiovascular condition explicitly mentioned.
silver_entity:3a17526814cbe9cf,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,condition:coronary_heart_disease,Condition,CHD,Coronary heart disease,,,,,,,,,CHD,INTRO,9428,9431,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk supports coronary heart disease via the abbreviation 'CHD'.
silver_entity:346673647c22faa0,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,condition:endothelial_dysfunction,Condition,Endothelial dysfunction,Endothelial dysfunction,,,,,,,,,endothelial dysfunction,INTRO,6768,6791,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone vascular condition explicitly mentioned.
silver_entity:ea702007c4abbc03,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,condition:hypertriglyceridemia,Condition,Hypertriglyceridemia,Hypertriglyceridemia,,,,,,,,,hypertriglyceridemia,INTRO,9526,9546,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone condition explicitly mentioned.
silver_entity:acd33d6adbe9d272,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,riskfactor:apoc3_mutation,RiskFactor,mutation in APOC3,APOC3 mutation,,,,,,,,,mutation in APOC3,INTRO,7841,7858,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk explicitly mentions a mutation in APOC3; normalized to APOC3 mutation.
silver_entity:cbacf8f4fc05a417,paper:PMC3234107,PMC3234107-chunk-0002,,PMC3234107,riskfactor:obesity,RiskFactor,obese subjects,Obesity,,,,,,,,,obese subjects,INTRO,9138,9152,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The adjectival mention 'obese subjects' supports the risk factor concept obesity.
silver_entity:090869ee7789375c,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,biomarker:apo_c_iii,Biomarker,Apo C-III,Apo C-III,,,,,,,,,apo C-III,INTRO,11421,11430,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Supported as a standalone apolipoprotein biomarker mentioned in relation to lipoproteins.
silver_entity:efbd38e6978107cc,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,biomarker:apob,Biomarker,apo B,Apolipoprotein B,,,,,,,,,apo B,INTRO,14032,14037,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk explicitly discusses apo B as a predictor and biomarker; normalized spelling expanded from ApoB.
silver_entity:3d0286a0e3b612b1,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,biomarker:hdl_cholesterol,Biomarker,HDL-C,HDL cholesterol,,,,,,,,,HDL-C,INTRO,10998,11003,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=HDL-C is explicitly present and is the standard abbreviation for HDL cholesterol.
silver_entity:2d24d1bd502a0f18,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,biomarker:high_triglyceride_levels,RiskFactor,high TG levels,Elevated triglyceride levels,,,,,,,,,high TG levels,INTRO,11177,11191,frontier / openai / gpt-5.5,accepted,"llm_adjudication=revised; reason=The abnormal triglyceride state is explicitly described as associated with residual risk, so it is better typed as a risk factor rather than a generic biomarker."
silver_entity:26125c7c9e540b69,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,biomarker:ldl_cholesterol,Biomarker,LDL-C,LDL cholesterol,,,,,,,,,LDL-C,INTRO,11064,11069,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=LDL-C is explicitly present and maps to LDL cholesterol.
silver_entity:7acdd557f2d15a11,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,biomarker:low_hdl_cholesterol,RiskFactor,low HDL-C,Low HDL cholesterol,,,,,,,,,low HDL-C,INTRO,11196,11205,frontier / openai / gpt-5.5,accepted,"llm_adjudication=revised; reason=The low HDL-C state is explicitly linked with residual risk, so it is better represented as a risk factor."
silver_entity:d46c01bc7559f3d3,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,biomarker:non_hdl_cholesterol,Biomarker,non-HDL-C,Non-HDL cholesterol,,,,,,,,,non-HDL-C,INTRO,13637,13646,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=Non-HDL-C is explicitly discussed as a lipid target and risk predictor; normalized to non-HDL cholesterol.
silver_entity:bafacfc8f11d40fb,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,biomarker:nonfasting_triglyceride_levels,Biomarker,nonfasting TG levels,Nonfasting triglyceride levels,,,,,,,,,nonfasting TG levels,INTRO,13110,13130,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk explicitly mentions nonfasting TG levels for hypertriglyceridemia screening.
silver_entity:a9fe05d852214782,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,biomarker:triglyceride_level_below_150_mg_dl,Biomarker,TG level below 150 mg/dL,Triglyceride level below 150 mg/dL,,,,,,,,,TG level below 150 mg/dL,INTRO,11711,11736,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The threshold is explicitly stated as a triglyceride level associated with lower CHD event risk.
silver_entity:79e8ffeb0b2799e9,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,biomarker:triglycerides,Biomarker,TGs,Triglycerides,,,,,,,,,TGs,INTRO,10990,10993,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=TGs is explicitly present and is the abbreviation for triglycerides.
silver_entity:3790230c6d6b1a4e,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,condition:acute_coronary_syndrome,Condition,acute coronary syndrome,Acute coronary syndrome,,,,,,,,,acute coronary syndrome,INTRO,12015,12038,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly present as the condition after which statin therapy was compared.
silver_entity:df8b021718883874,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,condition:atherogenic_dyslipidemia,Condition,atherogenic dyslipidemia,Atherogenic dyslipidemia,,,,,,,,,atherogenic dyslipidemia,INTRO,11119,11143,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicit standalone condition in the chunk.
silver_entity:2b63622407c1f7b0,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,condition:atherosclerosis,Condition,atherosclerosis,Atherosclerosis,,,,,,,,,atherosclerosis,INTRO,14423,14438,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly present as a disease process relevant to apo B and lipoprotein concentration.
silver_entity:ef641875367c846b,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,condition:cardiovascular_disease,Condition,CVD,Cardiovascular disease,,,,,,,,,CVD,INTRO,12501,12504,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=CVD is explicitly present and normalized to cardiovascular disease.
silver_entity:30fcaffc522f1147,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,condition:coronary_heart_disease,Condition,CHD,Coronary heart disease,,,,,,,,,CHD,INTRO,11007,11010,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=CHD is explicitly present and normalized to coronary heart disease.
silver_entity:f8468250c702cea4,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,condition:coronary_heart_disease_events,Condition,CHD events,Coronary heart disease events,,,,,,,,,CHD events,INTRO,11787,11797,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk explicitly refers to CHD events as cardiovascular outcomes.
silver_entity:f2ca2487073bd494,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,condition:diabetes,Condition,Diabetes,Diabetes,,,,,,,,,diabetes,INTRO,16884,16892,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicit condition mentioned in the ACCORD trial population.
silver_entity:f50efae9281065d5,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,condition:hypertriglyceridemia,Condition,Hypertriglyceridemia,Hypertriglyceridemia,,,,,,,,,hypertriglyceridemia,INTRO,13080,13100,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicit standalone condition discussed in screening recommendations and statin rationale.
silver_entity:09bc906dc0d2cf4e,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,condition:myocardial_infarction,Condition,Myocardial infarction,Myocardial infarction,,,,,,,,,myocardial infarction,INTRO,12107,12128,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly included in the composite end point.
silver_entity:1f5dd2953709c48a,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,drug:fenofibrate,Drug,Fenofibrate,Fenofibrate,,,,,,,,,fenofibrate,INTRO,16794,16805,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicit drug mentioned in the ACCORD trial intervention.
silver_entity:7fca7fcc6aedbe3b,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,drug:fibrates,Drug,Fibrates,Fibrates,,,,,,,,,Fibrates,INTRO,16142,16150,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicit drug class discussed in randomized trials.
silver_entity:964c0b9f9354a2a9,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,drug:simvastatin,Drug,Simvastatin,Simvastatin,,,,,,,,,simvastatin,INTRO,16809,16820,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicit drug mentioned as background therapy with fenofibrate.
silver_entity:34771c42aaf8b42f,paper:PMC3234107,PMC3234107-chunk-0003,,PMC3234107,drug:statins,Drug,Statins,Statins,,,,,,,,,Statins,INTRO,15480,15487,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicit drug class discussed as lipid-lowering therapy.
silver_entity:346fea0c24301e39,paper:PMC3234107,PMC3234107-chunk-0004,,PMC3234107,biomarker:apo_a_1,Biomarker,Apo A-1,Apo A-1,,,,,,,,,apo A-1,INTRO,18026,18033,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Supported as a standalone apolipoprotein biomarker mentioned in hepatic apo A-1 synthesis.
silver_entity:16db3b7b9983e25b,paper:PMC3234107,PMC3234107-chunk-0004,,PMC3234107,biomarker:apo_b_containing_lipoproteins,Biomarker,apo B–containing lipoproteins,Apo B-containing lipoproteins,,,,,,,,,apo B–containing lipoproteins,INTRO,17944,17973,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=Supported as a standalone lipoprotein biomarker class; normalized capitalization and dash form.
silver_entity:91d9fbeb5a9c4d3e,paper:PMC3234107,PMC3234107-chunk-0004,,PMC3234107,biomarker:hdl_cholesterol,Biomarker,HDL-C,HDL cholesterol,,,,,,,,,HDL-C,INTRO,16556,16561,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted_with_normalization; reason=Supported by the abbreviation HDL-C, normalized to HDL cholesterol."
silver_entity:a9d22ce6dee5ecf1,paper:PMC3234107,PMC3234107-chunk-0004,,PMC3234107,biomarker:ldl_cholesterol,Biomarker,LDL-C,LDL cholesterol,,,,,,,,,LDL-C,INTRO,18921,18926,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted_with_normalization; reason=Supported by the abbreviation LDL-C, normalized to LDL cholesterol."
silver_entity:05a3860ee679e292,paper:PMC3234107,PMC3234107-chunk-0004,,PMC3234107,biomarker:lipoprotein_fractions,Biomarker,Lipoprotein fractions,Lipoprotein fractions,,,,,,,,,lipoprotein fractions,INTRO,17878,17899,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Supported as a biomedical lipid-related biomarker category affected by niacin.
